provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA;CASAFRANCA;14;;8017;;;
BARCELONA;BARCELONA;CASTELLNOU;48;;8017;;;
BARCELONA;BARCELONA;CASTELLNOU;36;;8017;;;
BARCELONA;BARCELONA;CASTELLNOU;46;;8017;;;
BARCELONA;BARCELONA;CASTELLNOU;43;;8017;;;
BARCELONA;BARCELONA;CASTELLNOU;69;;8017;;;
BARCELONA;BARCELONA;CIRCUMVAL·LACIO;8;;8017;;;
BARCELONA;BARCELONA;CORNET I MAS;59;;8017;;;
BARCELONA;BARCELONA;DALMASES;53;;8017;;;
BARCELONA;BARCELONA;DALMASES;56;;8017;;;
BARCELONA;BARCELONA;DALMASES;62;;8017;;;
BARCELONA;BARCELONA;DALMASES;65;;8017;;;
BARCELONA;BARCELONA;DALMASES;57;;8017;;;
BARCELONA;BARCELONA;DALMASES;41;;8017;;;
BARCELONA;BARCELONA;DALMASES;20;;8017;;;
BARCELONA;BARCELONA;DALMASES;22;;8017;;;
BARCELONA;BARCELONA;DALMASES;66;;8017;;;
BARCELONA;BARCELONA;DEMESTRE;9;;8017;;;
BARCELONA;BARCELONA;DEMESTRE;8;;8017;;;
BARCELONA;BARCELONA;DIAGONAL;630;;8017;;;
BARCELONA;BARCELONA;DIAGONAL;650;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;64;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;52;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;8;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;21;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;53;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;36;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;57;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;49;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;26;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;31;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;56;;8017;;;
BARCELONA;BARCELONA;DOCTOR CARULLA;17;;8017;;;
BARCELONA;BARCELONA;DOCTOR FLEMING;22;;8017;;;
BARCELONA;BARCELONA;DOCTOR FLEMING;17;;8017;;;
BARCELONA;BARCELONA;DOCTOR FLEMING;15;;8017;;;
BARCELONA;BARCELONA;DOCTOR FLEMING;13;;8017;;;
BARCELONA;BARCELONA;DOCTOR FLEMING;11;;8017;;;
BARCELONA;BARCELONA;DOCTOR FLEMING;25;;8017;;;
BARCELONA;BARCELONA;DOCTOR FLEMING;6;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;95;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;103;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;94;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;59;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;57;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;78;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;17;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;129;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;133;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;13;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;40;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;77;;8017;;;
BARCELONA;BARCELONA;DOCTOR ROUX;55;;8017;;;
BARCELONA;BARCELONA;DOLORS MONSERDA;6;;8017;;;
BARCELONA;BARCELONA;DRECERA DE VALLVIDRERA;40;;8017;;;
BARCELONA;BARCELONA;DRECERA DE VALLVIDRERA;40;;8017;;;
BARCELONA;BARCELONA;EGUILAZ;8;;8017;;;
BARCELONA;BARCELONA;EGUILAZ;7;;8017;;;
BARCELONA;BARCELONA;ESCALERA FONT DEL MONT;1;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;101;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;12;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;49;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;54;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;90;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;75;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;84;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;4;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;12;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;18;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;36;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;23;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;40;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;26;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;98;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;16;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;57;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;45;;8017;;;
BARCELONA;BARCELONA;ESCOLES PIES;24;;8017;;;
BARCELONA;BARCELONA;FONT MONT;11;;8017;;;
BARCELONA;BARCELONA;FONT MONT;9;;8017;;;
BARCELONA;BARCELONA;FONTANELLES;15;;8017;;;
BARCELONA;BARCELONA;FONTANELLES;9;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;65;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;59;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;49;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;60;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;36;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;32;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;28;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;17;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;53;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;63;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;67;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;7;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;33;;8017;;;
BARCELONA;BARCELONA;GENERAL MITRE;61;;8017;;;
BARCELONA;BARCELONA;GOSOL;5;;8017;;;
BARCELONA;BARCELONA;GOSOL;41;;8017;;;
BARCELONA;BARCELONA;GOSOL;10;;8017;;;
BARCELONA;BARCELONA;GOSOL;36;;8017;;;
BARCELONA;BARCELONA;GOSOL;23;;8017;;;
BARCELONA;BARCELONA;GOSOL;11;;8017;;;
BARCELONA;BARCELONA;GOSOL;7;;8017;;;
