provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;6;;8031;1.284,77 €;1963;68539
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;18;;8031;5.361,88 €;1988;68540
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;50;;8031;1.569,35 €;1964;68542
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;4;;8031;1.214,28 €;1963;68543
BARCELONA;BARCELONA; L'ESCULTOR LLIMONA ;36 B;;8031;;;
BARCELONA;BARCELONA; LLORET DE MAR ;57;;8031;1.616,07 €;1968;68545
BARCELONA;BARCELONA; MARTI I ALSINA ;16;;8031;1.089,19 €;1984;68546
BARCELONA;BARCELONA; MONTMAJOR ;19;;8031;1.390,00 €;1954;68547
BARCELONA;BARCELONA; ORDUÑA ;6;;8031;4.676,09 €;1966;68548
BARCELONA;BARCELONA; PETRARCA ;42;;8031;1.492,60 €;1991;68549
BARCELONA;BARCELONA; PETRARCA ;26;;8031;1.134,17 €;1978;68550
BARCELONA;BARCELONA; PINTOR CASAS ;12;;8031;606,03 €;1964;68551
BARCELONA;BARCELONA; PINTOR MIR ;8;;8031;1.190,27 €;1965;68552
BARCELONA;BARCELONA; PINTOR MIR ;2;;8031;2.148,65 €;1960;68553
BARCELONA;BARCELONA; PORRERA ;15;;8031;2.131,83 €;1974;68554
BARCELONA;BARCELONA; SABASTIDA ;25;;8031;1.224,09 €;1969;68555
BARCELONA;BARCELONA; SALSES ;63;;8031;528,44 €;1998;68556
BARCELONA;BARCELONA; SALSES ;116;;8031;2.789,90 €;1971;68557
BARCELONA;BARCELONA; SALSES ;116 B;;8031;2.789,90 €;1971;68558
BARCELONA;BARCELONA; SALSES ;50;;8031;805,00 €;1994;68559
BARCELONA;BARCELONA; SALSES ;100;;8031;3.352,91 €;1970;68560
BARCELONA;BARCELONA; SALSES ;89;;8031;2.107,57 €;1978;68561
BARCELONA;BARCELONA; SANT FERRAN ;10;;8031;3.945,33 €;1974;68563
BARCELONA;BARCELONA; SANT ISCLE ;38;;8031;1.441,51 €;1961;68564
BARCELONA;BARCELONA; SANT ISCLE ;31;;8031;;;
BARCELONA;BARCELONA; SANT ISCLE ;70;;8031;556,45 €;1950;68565
BARCELONA;BARCELONA; SANT ISCLE ;42;;8031;1.442,62 €;1961;68566
BARCELONA;BARCELONA; SANT ISCLE ;29;;8031;;;
BARCELONA;BARCELONA; SANT ISCLE ;34;;8031;1.441,51 €;1961;68567
BARCELONA;BARCELONA; SANT ISCLE ;70 B;;8031;;;
BARCELONA;BARCELONA; SANT ISCLE ;68;;8031;565,37 €;1950;68568
BARCELONA;BARCELONA; SANT ISCLE ;68 B;;8031;;;
BARCELONA;BARCELONA; SANTA AMALIA ;58;;8031;515,74 €;1900;68569
BARCELONA;BARCELONA; SANTA AMALIA ;20;;8031;2.210,26 €;1989;68570
BARCELONA;BARCELONA; SANTA MATILDE ;14;;8031;1.156,54 €;1972;68571
BARCELONA;BARCELONA; SANTA URSULA ;4;;8031;1.299,59 €;1971;68572
BARCELONA;BARCELONA; SANTIAGO RUSIÑOL ;5;;8031;1.222,47 €;1970;68573
