provincia;poblacion;nombre_via;num_via;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto;capital_continente;total_asegurado;capital_contenido;precios_antes_proyecto;precios_despues_proyecto;precio_basic;precio_plus
BARCELONA;BARCELONA; ARENYS ;82;;8035;1.827,42 €;1964;82594;1.717.010,00;1.717.010,00;17.170,10;;;1.530,84 €;2.153,21 €
BARCELONA;BARCELONA; ARENYS ;88;;8035;2.296,71 €;1967;82595;2.388.689,00;2.388.689,00;23.886,89;;;1.948,06 €;2.671,49 €
BARCELONA;BARCELONA; ARIOSTO ;15;;8035;1.085,06 €;1999;82597;1.179.400,00;1.179.400,00;11.794,00;;;940,22 €;1.298,91 €
BARCELONA;BARCELONA; AUGUST FONT ;17;;8035;581,21 €;1950;82598;295.680,00;295.680,00;2.956,80;;;444,97 €;764,16 €
BARCELONA;BARCELONA; AUGUST FONT ;35;;8035;5.917,24 €;1978;82599;7.676.580,00;7.676.580,00;76.765,80;;;5.223,74 €;6.666,30 €
BARCELONA;BARCELONA; AUGUST FONT ;31;;8035;5.917,24 €;1978;82600;7.676.580,00;7.676.580,00;76.765,80;;;5.223,74 €;6.666,30 €
BARCELONA;BARCELONA; AUGUST FONT ;41;;8035;5.917,24 €;1978;82603;7.676.580,00;7.676.580,00;76.765,80;;;5.223,74 €;6.666,30 €
BARCELONA;BARCELONA; BENLLIURE ;1;;8035;4.104,22 €;1999;82604;7.161.385,00;7.161.385,00;71.613,85;;;3.667,70 €;4.653,30 €
BARCELONA;BARCELONA; BENLLIURE ;5;;8035;4.104,22 €;1999;82606;7.161.385,00;7.161.385,00;71.613,85;;;3.667,70 €;4.653,30 €
